35 0.21 0.41 0.6 0.8 1 1.2 1.4
35.1 0.22 0.42 0.62 0.82 1.02 1.22 1.42
35.2 0.23 0.43 0.63 0.83 1.03 1.23 1.43
35.3 0.24 0.44 0.64 0.84 1.05 1.25 1.45
35.4 0.26 0.46 0.66 0.86 1.06 1.26 1.46
35.5 0.27 0.47 0.67 0.87 1.07 1.27 1.47
35.6 0.28 0.48 0.69 0.89 1.09 1.29 1.49
35.7 0.3 0.5 0.7 0.9 1.1 1.3 1.5
35.8 0.31 0.51 0.71 0.91 1.12 1.32 1.52
35.9 0.32 0.52 0.73 0.93 1.13 1.33 1.53
36 0.34 0.54 0.74 0.94 1.14 1.35 1.55
36.1 0.35 0.55 0.75 0.96 1.16 1.36 1.56
36.2 0.36 0.57 0.77 0.97 1.17 1.38 1.58
36.3 0.38 0.58 0.78 0.99 1.19 1.39 1.59
36.4 0.39 0.59 0.8 1 1.2 1.41 1.61
36.5 0.4 0.61 0.81 1.01 1.22 1.42 1.63
36.6 0.42 0.62 0.83 1.03 1.23 1.44 1.64
36.7 0.43 0.64 0.84 1.04 1.25 1.45 1.66
36.8 0.45 0.65 0.85 1.06 1.26 1.47 1.67
36.9 0.46 0.66 0.87 1.07 1.28 1.48 1.69
37 0.47 0.68 0.88 1.09 1.29 1.5 1.7
37.1 0.49 0.69 0.9 1.1 1.31 1.52 1.72
37.2 0.5 0.71 0.91 1.12 1.33 1.53 1.74
37.3 0.52 0.72 0.93 1.13 1.34 1.55 1.75
37.4 0.53 0.74 0.94 1.15 1.36 1.56 1.77
37.5 0.55 0.75 0.96 1.17 1.37 1.58 1.79
37.6 0.56 0.77 0.97 1.18 1.39 1.6 1.8
37.7 0.57 0.78 0.99 1.2 1.4 1.61 1.82
37.8 0.59 0.8 1 1.21 1.42 1.63 1.84
37.9 0.6 0.81 1.02 1.23 1.44 1.65 1.85
38 0.62 0.83 1.04 1.24 1.45 1.66 1.87
38.1 0.63 0.84 1.05 1.26 1.47 1.68 1.89
38.2 0.65 0.86 1.07 1.28 1.49 1.7 1.9
38.3 0.66 0.87 1.08 1.29 1.5 1.71 1.92
38.4 0.68 0.89 1.1 1.31 1.52 1.73 1.94
38.5 0.69 0.9 1.11 1.32 1.53 1.75 1.96
38.6 0.71 0.92 1.13 1.34 1.55 1.76 1.97
38.7 0.72 0.93 1.14 1.36 1.57 1.78 1.99
38.8 0.74 0.95 1.16 1.37 1.58 1.8 2.01
38.9 0.75 0.96 1.18 1.39 1.6 1.81 2.03
39 0.77 0.98 1.19 1.41 1.62 1.83 2.04
39.1 0.78 1 1.21 1.42 1.64 1.85 2.06
39.2 0.8 1.01 1.22 1.44 1.65 1.87 2.08
39.3 0.81 1.03 1.24 1.46 1.67 1.88 2.1
39.4 0.83 1.04 1.26 1.47 1.69 1.9 2.12
39.5 0.84 1.06 1.27 1.49 1.7 1.92 2.13
39.6 0.86 1.07 1.29 1.51 1.72 1.94 2.15
39.7 0.87 1.09 1.31 1.52 1.74 1.95 2.17
39.8 0.89 1.1 1.32 1.54 1.76 1.97 2.19
39.9 0.9 1.12 1.34 1.56 1.77 1.99 2.21
40 0.92 1.14 1.35 1.57 1.79 2.01 2.23
40.1 0.93 1.15 1.37 1.59 1.81 2.03 2.24
40.2 0.95 1.17 1.39 1.61 1.83 2.04 2.26
40.3 0.97 1.18 1.4 1.62 1.84 2.06 2.28
40.4 0.98 1.2 1.42 1.64 1.86 2.08 2.3
40.5 1 1.22 1.44 1.66 1.88 2.1 2.32
40.6 1.01 1.23 1.45 1.67 1.9 2.12 2.34
40.7 1.03 1.25 1.47 1.69 1.91 2.14 2.36
40.8 1.04 1.27 1.49 1.71 1.93 2.15 2.38
40.9 1.06 1.28 1.5 1.73 1.95 2.17 2.39
41 1.07 1.3 1.52 1.74 1.97 2.19 2.41
