43.8 1.79 1.84 1.93 2.24 2.55 2.64 2.7
43.9 1.8 1.86 1.95 2.26 2.57 2.66 2.72
44 1.82 1.88 1.97 2.28 2.59 2.68 2.74
44.1 1.84 1.89 1.98 2.3 2.61 2.7 2.76
44.2 1.85 1.91 2 2.32 2.63 2.72 2.78
44.3 1.87 1.93 2.02 2.33 2.65 2.74 2.8
44.4 1.89 1.95 2.04 2.35 2.67 2.76 2.82
44.5 1.9 1.96 2.05 2.37 2.69 2.78 2.84
44.6 1.92 1.98 2.07 2.39 2.71 2.8 2.86
44.7 1.94 2 2.09 2.41 2.73 2.82 2.88
44.8 1.95 2.01 2.1 2.43 2.75 2.84 2.9
44.9 1.97 2.03 2.12 2.44 2.77 2.86 2.92
45 1.99 2.05 2.14 2.46 2.79 2.88 2.94
45.1 2 2.06 2.16 2.48 2.81 2.9 2.96
45.2 2.02 2.08 2.17 2.5 2.83 2.92 2.98
45.3 2.04 2.1 2.19 2.52 2.84 2.94 3
45.4 2.05 2.12 2.21 2.54 2.86 2.96 3.02
45.5 2.07 2.13 2.23 2.55 2.88 2.98 3.04
45.6 2.09 2.15 2.24 2.57 2.9 3 3.06
45.7 2.1 2.17 2.26 2.59 2.92 3.02 3.08
45.8 2.12 2.18 2.28 2.61 2.94 3.04 3.1
45.9 2.14 2.2 2.29 2.63 2.96 3.06 3.12
46 2.16 2.22 2.31 2.65 2.98 3.08 3.14
46.1 2.17 2.23 2.33 2.67 3 3.1 3.16
46.2 2.19 2.25 2.35 2.68 3.02 3.12 3.18
46.3 2.21 2.27 2.36 2.7 3.04 3.14 3.2
46.4 2.22 2.28 2.38 2.72 3.06 3.16 3.22
46.5 2.24 2.3 2.4 2.74 3.08 3.18 3.24
46.6 2.26 2.32 2.42 2.76 3.1 3.2 3.26
46.7 2.27 2.34 2.43 2.78 3.12 3.22 3.28
46.8 2.29 2.35 2.45 2.8 3.14 3.24 3.3
46.9 2.31 2.37 2.47 2.81 3.16 3.26 3.32
