36+3 4.48 4.64 4.88 5.75 6.63 6.87 7.03
36+4 4.52 4.68 4.93 5.80 6.67 6.92 7.08
36+5 4.56 4.72 4.97 5.84 6.72 6.96 7.12
36+6 4.61 4.77 5.02 5.89 6.76 7.01 7.17
37+0 4.65 4.81 5.06 5.93 6.80 7.05 7.21
37+1 4.69 4.85 5.10 5.97 6.84 7.09 7.25
37+2 4.74 4.90 5.14 6.02 6.89 7.13 7.29
37+3 4.78 4.94 5.18 6.06 6.93 7.18 7.34
37+4 4.82 4.98 5.22 6.10 6.97 7.22 7.38
37+5 4.86 5.02 5.26 6.14 7.01 7.25 7.41
37+6 4.89 5.05 5.30 6.17 7.05 7.29 7.45
38+0 4.93 5.09 5.34 6.21 7.08 7.33 7.49
38+1 4.97 5.13 5.38 6.25 7.12 7.37 7.53
38+2 5.01 5.17 5.41 6.28 7.16 7.40 7.56
38+3 5.04 5.20 5.45 6.32 7.19 7.44 7.60
38+4 5.08 5.24 5.48 6.35 7.23 7.47 7.63
38+5 5.11 5.27 5.52 6.39 7.26 7.51 7.67
38+6 5.14 5.30 5.55 6.42 7.29 7.54 7.70
39+0 5.17 5.33 5.58 6.45 7.32 7.57 7.73
39+1 5.20 5.36 5.61 6.48 7.36 7.60 7.76
39+2 5.24 5.40 5.64 6.51 7.39 7.63 7.79
39+3 5.26 5.42 5.67 6.54 7.42 7.66 7.82
39+4 5.29 5.45 5.70 6.57 7.44 7.69 7.85
39+5 5.32 5.48 5.73 6.60 7.47 7.72 7.88
39+6 5.35 5.51 5.76 6.63 7.50 7.75 7.91
40+0 5.37 5.53 5.78 6.65 7.52 7.77 7.93
40+1 5.40 5.56 5.81 6.68 7.55 7.80 7.96
40+2 5.42 5.58 5.83 6.70 7.57 7.82 7.98
40+3 5.44 5.60 5.85 6.72 7.59 7.84 8.00
40+4 5.47 5.63 5.87 6.75 7.62 7.87 8.02
40+5 5.49 5.65 5.90 6.77 7.64 7.89 8.05
40+6 5.51 5.67 5.91 6.79 7.66 7.91 8.07
41+0 5.53 5.69 5.93 6.80 7.68 7.92 8.08
41+1 5.54 5.70 5.95 6.82 7.69 7.94 8.10
41+2 5.56 5.72 5.97 6.84 7.71 7.96 8.12
41+3 5.58 5.74 5.98 6.85 7.73 7.97 8.13
41+4 5.59 5.75 6.00 6.87 7.74 7.99 8.15
41+5 5.60 5.76 6.01 6.88 7.75 8.00 8.16
41+6 5.62 5.78 6.02 6.90 7.77 8.02 8.18
42+0 5.63 5.79 6.04 6.91 7.78 8.03 8.19
42+1 5.64 5.80 6.05 6.92 7.79 8.04 8.20
42+2 5.65 5.81 6.05 6.93 7.80 8.05 8.21
42+3 5.65 5.81 6.06 6.93 7.81 8.05 8.21
42+4 5.66 5.82 6.07 6.94 7.81 8.06 8.22
42+5 5.67 5.83 6.08 6.95 7.82 8.07 8.23
42+6 5.67 5.83 6.08 6.95 7.82 8.07 8.23
