36+3 43.5 44.0 44.6 46.8 49.0 49.6 50.0
36+4 43.6 44.1 44.8 47.0 49.1 49.7 50.1
36+5 43.8 44.2 44.9 47.1 49.2 49.8 50.2
36+6 43.9 44.3 45.0 47.2 49.3 49.9 50.3
37+0 44.0 44.5 45.1 47.3 49.4 50.0 50.4
37+1 44.1 44.6 45.2 47.4 49.5 50.1 50.5
37+2 44.2 44.7 45.3 47.5 49.6 50.2 50.6
37+3 44.4 44.8 45.5 47.6 49.7 50.3 50.7
37+4 44.5 44.9 45.6 47.7 49.8 50.4 50.8
37+5 44.6 45.0 45.7 47.8 49.9 50.5 50.9
37+6 44.7 45.1 45.8 47.9 50.0 50.6 51.0
38+0 44.8 45.2 45.9 48.0 50.1 50.7 51.1
38+1 44.9 45.3 46.0 48.1 50.2 50.8 51.2
38+2 45.0 45.4 46.1 48.2 50.3 50.9 51.3
38+3 45.1 45.5 46.2 48.3 50.3 51.0 51.4
38+4 45.2 45.6 46.3 48.4 50.4 51.0 51.5
38+5 45.3 45.7 46.4 48.5 50.5 51.1 51.5
38+6 45.4 45.8 46.5 48.6 50.6 51.2 51.6
39+0 45.5 45.9 46.6 48.7 50.7 51.3 51.7
39+1 45.6 46.0 46.7 48.7 50.8 51.4 51.8
39+2 45.7 46.1 46.7 48.8 50.8 51.5 51.9
39+3 45.8 46.2 46.8 48.9 50.9 51.5 51.9
39+4 45.9 46.3 46.9 49.0 51.0 51.6 52.0
39+5 46.0 46.4 47.0 49.1 51.1 51.7 52.1
39+6 46.0 46.5 47.1 49.2 51.2 51.8 52.2
40+0 46.1 46.5 47.2 49.2 51.2 51.8 52.2
40+1 46.2 46.6 47.3 49.3 51.3 51.9 52.3
40+2 46.3 46.7 47.3 49.4 51.4 52.0 52.4
40+3 46.4 46.8 47.4 49.5 51.4 52.0 52.4
40+4 46.5 46.9 47.5 49.5 51.5 52.1 52.5
40+5 46.5 47.0 47.6 49.6 51.6 52.2 52.6
40+6 46.6 47.0 47.7 49.7 51.7 52.2 52.6
41+0 46.7 47.1 47.7 49.8 51.7 52.3 52.7
41+1 46.8 47.2 47.8 49.8 51.8 52.4 52.8
41+2 46.8 47.3 47.9 49.9 51.9 52.4 52.8
41+3 46.9 47.3 47.9 50.0 51.9 52.5 52.9
41+4 47.0 47.4 48.0 50.0 52.0 52.6 52.9
41+5 47.1 47.5 48.1 50.1 52.0 52.6 53.0
41+6 47.1 47.5 48.2 50.2 52.1 52.7 53.1
42+0 47.2 47.6 48.2 50.2 52.2 52.7 53.1
42+1 47.3 47.7 48.3 50.3 52.2 52.8 53.2
42+2 47.3 47.7 48.4 50.3 52.3 52.9 53.2
42+3 47.4 47.8 48.4 50.4 52.3 52.9 53.3
42+4 47.5 47.9 48.5 50.5 52.4 53.0 53.3
42+5 47.5 47.9 48.5 50.5 52.4 53.0 53.4
42+6 47.6 48.0 48.6 50.6 52.5 53.1 53.5
